startyear;endyear;normalization;learningRate;lambdaValue;PCE;R2;ResBlockWidth;numBlocks;dense;af
2009;2019;100-1000;base;0.0;0.06727300584316254;0.08910534406630428;3;20;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;base;0.0;0.06769626587629318;0.0897129788395886;5;20;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;base;0.0;0.06727179139852524;0.09066666562288157;7;20;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;base;0.0;0.06689281761646271;0.10596952219629412;5;30;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;base;0.0;0.06728603690862656;0.09438659495960484;7;30;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;base;0.0;0.0662141889333725;0.1049198435029859;3;20;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;base;0.0;0.06661798059940338;0.1108765700939769;7;20;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;base;0.0;0.06694897264242172;0.11821275569516383;3;30;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;base;0.0;0.06724923104047775;0.10939817565507477;5;30;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;base;0.0;0.06800978630781174;0.0925040502445643;7;30;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;base;0.3;0.06541068106889725;0.15947130306025645;3;20;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;base;0.3;0.06431161612272263;0.16231242288666028;5;20;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;base;0.3;0.06811635941267014;0.12212389349142956;7;20;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;base;0.3;0.06496290862560272;0.1503869316693119;3;30;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;base;0.3;0.06496459245681763;0.15184509985092653;5;30;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;base;0.3;0.0668957307934761;0.1438714421069041;7;30;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;base;0.3;0.06477242708206177;0.17005797817359092;3;20;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;base;0.3;0.06551376730203629;0.1620442807961268;5;20;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;base;0.3;0.06583045423030853;0.15155788853227584;7;20;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;base;0.3;0.06518399715423584;0.16205364507547762;5;30;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;base;0.3;0.0660310760140419;0.1599864543017339;7;30;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;100-1000;base;0.3;0.06540278345346451;0.15569067539562761;5;20;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;base;0.3;0.06526995450258255;0.1610368543431752;7;20;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;base;0.3;0.0658436268568039;0.1547861848258932;3;30;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;base;0.3;0.06515394151210785;0.1460016558508527;5;30;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;base;0.3;0.06520964950323105;0.11910599558391936;7;30;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;base;0.3;0.06513133645057678;0.13191386938221975;3;20;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;base;0.3;0.06544031202793121;0.16136272658123227;5;20;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;base;0.3;0.06599560379981995;0.16783237911286975;7;20;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;base;0.3;0.0657266154885292;0.15684851131910574;3;30;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;base;0.3;0.06492152810096741;0.15580141392735483;5;30;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;100-1000;base;0.3;0.06689637154340744;0.1394860019401983;7;30;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.0001;1.9548943042755127;0.05427656450241097;3;20;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.0001;1.790319561958313;0.039135528357970475;5;20;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.0001;1.959696650505066;0.0855532142787862;7;20;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.0001;1.950558066368103;0.08323329310126198;3;30;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.0001;2.0761559009552;0.05759433028369588;5;30;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.0001;1.965183973312378;0.0577496006810504;7;30;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.0001;1.4863241910934448;0.10695140359244959;3;20;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.0001;1.478758692741394;0.09841361788568263;5;20;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.0001;1.5801277160644531;0.07572062906865591;7;20;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
