startyear;endyear;normalization;learningRate;lambdaValue;PCE;R2;Kernel1channels;kernel2channels
2009;2019;et100-1000;base;0.0001;0.07180672883987427;0.13255338364545452;15;15
2009;2019;et100-1000;base;0.0001;0.07167813181877136;0.15086242357477644;20;15
2009;2019;et100-1000;base;0.0001;0.07322155684232712;0.1277296215654019;15;20
2009;2019;et100-1000;base;0.0001;0.07129516452550888;0.1514669584792322;20;20
2009;2019;et100-1000;base;0.003;0.06108270585536957;0.17784300581030862;15;15
2009;2019;et100-1000;base;0.003;0.0621834471821785;0.1658141140766847;20;15
2009;2019;et100-1000;base;0.003;0.06222984194755554;0.15364708604374663;15;20
2009;2019;et100-1000;base;0.003;0.06183650717139244;0.1759668232657691;20;20
2009;2019;et100-1000;base;0.0;0.0673757940530777;0.1345719200517793;15;15
2009;2019;et100-1000;base;0.0;0.06797084212303162;0.14686519584106342;20;15
2009;2019;et100-1000;base;0.0;0.06922224164009094;0.12279607497229639;15;20
2009;2019;et100-1000;base;0.0;0.06882724910974503;0.1253387959394472;20;20
2009;2019;et100-1000;base;0.3;0.06538181006908417;0.11126447094428606;15;15
2009;2019;et100-1000;base;0.3;0.06536602228879929;0.08953686509812943;20;15
2009;2019;et100-1000;base;0.3;0.06543360650539398;0.11337915523613647;15;20
2009;2019;et100-1000;base;0.3;0.06555228680372238;0.10315286864260087;20;20
2009;2019;etNone;base;0.0001;1.5311579704284668;0.08950594262611915;15;15
2009;2019;etNone;base;0.0001;1.8101917505264282;0.09569786015471153;20;15
2009;2019;etNone;base;0.0001;1.7335344552993774;0.08816906938820164;15;20
2009;2019;etNone;base;0.0001;1.6542750597000122;0.07728881339670723;20;20
2009;2019;etNone;base;0.003;1.7801872491836548;0.1126426242586962;15;15
2009;2019;etNone;base;0.003;2.0365259647369385;0.002946088764708509;20;15
2009;2019;etNone;base;0.0;2.030843496322632;0.09127726310065476;15;15
2009;2019;etNone;base;0.0;1.826621413230896;0.10229175068857221;20;15
2009;2019;etNone;base;0.0;1.940106749534607;0.09857737668625775;15;20
2009;2019;etNone;base;0.0;2.0448012351989746;0.08264642773158197;20;20
2009;2019;etNone;base;0.3;79132.2421875;0.07917365941617822;15;15
2009;2019;etNone;base;0.3;115871.203125;0.0895696358308949;20;15
2009;2019;etNone;base;0.3;130568.0546875;0.07597680595332588;15;20
2009;2019;etNone;base;0.3;121607.796875;0.07848313960873525;20;20
2009;2019;et0mean;low;0.0001;4.215558052062988;0.12281001340992752;15;15
2009;2019;et0mean;low;0.0001;2.6788272857666016;0.045065888184355106;20;15
2009;2019;et0mean;low;0.0001;3.4408044815063477;0.05319804815753696;15;20
2009;2019;et0mean;low;0.0001;3.133680582046509;0.02127232920289689;20;20
2009;2019;et0mean;low;0.003;2.307196855545044;0.12790997491067113;15;15
2009;2019;et0mean;low;0.003;5.227634429931641;0.11614223399793654;20;15
2009;2019;et0mean;low;0.003;3.126667022705078;0.10962485259435965;15;20
2009;2019;et0mean;low;0.003;7.5991621017456055;0.1309465725202924;20;20
2009;2019;et0mean;low;0.0;1.823219656944275;0.1260459826990403;15;15
2009;2019;et0mean;low;0.0;1.774600625038147;0.14964554229085306;20;15
2009;2019;et0mean;low;0.0;1.9005382061004639;0.14495782212787042;15;20
2009;2019;et0mean;low;0.0;1.7642180919647217;0.15348895142196248;20;20
2009;2019;et0mean;low;0.3;2.0576186180114746;0.15940375663865627;15;15
2009;2019;et0mean;low;0.3;2.1033198833465576;0.15609786187936456;20;15
2009;2019;et0mean;low;0.3;2.356472969055176;0.1559219978408177;15;20
2009;2019;et0mean;low;0.3;2.1859383583068848;0.16247247338206175;20;20
2009;2019;et100-1000;low;0.0001;0.0735853910446167;0.060315459801231146;15;15
2009;2019;et100-1000;low;0.0001;0.07262994349002838;0.07992203613137212;20;15
2009;2019;et100-1000;low;0.0001;0.07142744958400726;0.07525739667172403;15;20
2009;2019;et100-1000;low;0.0001;0.07206728309392929;0.08329053242944451;20;20
2009;2019;et100-1000;low;0.003;0.06956689059734344;0.09557251422268322;15;15
2009;2019;et100-1000;low;0.003;0.06897946447134018;0.09121833089649928;20;15
2009;2019;et100-1000;low;0.003;0.06949269771575928;0.10368058444746443;15;20
2009;2019;et100-1000;low;0.003;0.07086417078971863;0.055634134050890814;20;20
2009;2019;et100-1000;low;0.0;0.06825467199087143;0.09350450204632915;15;15
2009;2019;et100-1000;low;0.0;0.06676793843507767;0.11955145437848175;20;15
2009;2019;et100-1000;low;0.0;0.06866076588630676;0.1334933651563368;15;20
2009;2019;et100-1000;low;0.0;0.06657800823450089;0.14839814493348916;20;20
2009;2019;et100-1000;low;0.3;0.06976383924484253;0.10968221874569546;15;15
2009;2019;et100-1000;low;0.3;0.0701209008693695;0.105569026449493;20;15
2009;2019;et100-1000;low;0.3;0.0699038952589035;0.10430903835896503;15;20
2009;2019;et100-1000;low;0.3;0.07053561508655548;0.09744902902629025;20;20
2009;2019;etmax100;low;0.0001;1.5926752090454102;0.1258179904608596;15;15
2009;2019;etmax100;low;0.0001;1.6421421766281128;0.12829769373520533;20;15
2009;2019;etmax100;low;0.0001;1.5786817073822021;0.13204142500125315;15;20
2009;2019;etmax100;low;0.0001;1.502731442451477;0.1334120706120728;20;20
2009;2019;etmax100;low;0.003;inf;0.10156033310139878;15;15
2009;2019;etmax100;low;0.003;inf;0.10852315184161115;20;15
2009;2019;etmax100;low;0.003;inf;0.11732542726268773;15;20
2009;2019;etmax100;low;0.003;inf;0.11220103185091274;20;20
